CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalTransactions,ProductDiversity,Cluster,HC_Cluster
10001.0,742,1,1516.2199999999998,1516.2199999999998,1,1,1.0,1,0
10003.0,1842,1,377.04999999999995,377.04999999999995,1,1,1.0,1,0
10008.0,145,1,62.599999999999994,62.599999999999994,1,1,1.0,1,0
10009.0,1826,1,827.84,827.84,1,1,1.0,1,0
10010.0,693,1,3113.2799999999997,3113.2799999999997,1,1,1.0,0,1
10011.0,853,1,746.58,746.58,1,1,1.0,1,0
10012.0,1436,1,822.9,822.9,1,1,1.0,1,0
10017.0,92,1,2935.2,2935.2,1,1,1.0,0,1
10018.0,655,1,1401.1200000000001,1401.1200000000001,1,1,1.0,1,0
10022.0,324,1,444.16,444.16,1,1,1.0,1,0
10023.0,1139,1,2137.3199999999997,2137.3199999999997,1,1,1.0,0,1
10025.0,208,1,1470.06,1470.06,1,1,1.0,1,1
10043.0,214,1,1616.16,1616.16,1,1,1.0,1,1
10047.0,1913,1,271.44,271.44,1,1,1.0,1,0
10050.0,852,1,776.8799999999999,776.8799999999999,1,1,1.0,1,0
10055.0,1388,1,2057.16,2057.16,1,1,1.0,0,1
10058.0,1491,1,1412.04,1412.04,1,1,1.0,1,1
10062.0,1982,1,698.6700000000001,698.6700000000001,1,1,1.0,1,0
10066.0,796,1,533.14,533.14,1,1,1.0,1,0
10068.0,984,1,680.32,680.32,1,1,1.0,1,0
10069.0,1562,1,2945.93,2945.93,1,1,1.0,0,1
10076.0,805,1,1800.06,1800.06,1,1,1.0,1,1
10077.0,1533,1,2810.3999999999996,2810.3999999999996,1,1,1.0,0,1
10084.0,1013,1,2324.84,2324.84,1,1,1.0,0,1
10086.0,1102,1,3659.48,3659.48,1,1,1.0,0,1
10090.0,1754,1,3585.24,3585.24,1,1,1.0,0,1
10091.0,1926,1,576.3,576.3,1,1,1.0,1,0
10092.0,1423,1,683.8299999999999,683.8299999999999,1,1,1.0,1,0
10093.0,1189,1,86.47,86.47,1,1,1.0,1,0
10095.0,184,1,422.72,422.72,1,1,1.0,1,0
10101.0,1308,1,681.26,681.26,1,1,1.0,1,0
10104.0,1882,1,649.4499999999999,649.4499999999999,1,1,1.0,1,0
10105.0,411,1,2181.09,2181.09,1,1,1.0,0,1
10116.0,1047,1,3166.76,3166.76,1,1,1.0,0,1
10118.0,51,1,115.96,115.96,1,1,1.0,1,0
10120.0,1377,1,2387.06,2387.06,1,1,1.0,0,1
10133.0,1259,1,208.51000000000002,208.51000000000002,1,1,1.0,1,0
10135.0,429,1,983.6999999999999,983.6999999999999,1,1,1.0,1,0
10150.0,101,1,2103.92,2103.92,1,1,1.0,0,1
10154.0,819,1,205.20000000000002,205.20000000000002,1,1,1.0,1,0
10157.0,1846,1,229.95000000000002,229.95000000000002,1,1,1.0,1,0
10158.0,1804,1,3156.96,3156.96,1,1,1.0,0,1
10162.0,534,1,1900.8000000000002,1900.8000000000002,1,1,1.0,0,1
10167.0,370,1,2228.64,2228.64,1,1,1.0,0,1
10168.0,1689,1,200.60000000000002,200.60000000000002,1,1,1.0,1,0
10171.0,100,1,234.8,234.8,1,1,1.0,1,0
10184.0,1795,1,36.09,36.09,1,1,1.0,1,0
10185.0,486,1,511.02,511.02,1,1,1.0,1,0
10189.0,1297,1,150.15,150.15,1,1,1.0,1,0
10191.0,1626,1,632.97,632.97,1,1,1.0,1,0
10192.0,161,1,326.82,326.82,1,1,1.0,1,0
10200.0,1522,1,66.2,66.2,1,1,1.0,1,0
10208.0,1912,1,30.44,30.44,1,1,1.0,1,0
10210.0,644,1,1997.16,1997.16,1,1,1.0,0,1
10213.0,842,1,3977.5,3977.5,1,1,1.0,0,1
10215.0,1269,1,1364.2,1364.2,1,1,1.0,1,1
10217.0,329,1,444.96,444.96,1,1,1.0,1,0
10225.0,858,1,929.5,929.5,1,1,1.0,1,0
10228.0,1847,1,1063.26,1063.26,1,1,1.0,1,0
10232.0,57,1,313.5,313.5,1,1,1.0,1,0
10233.0,1445,1,3059.7599999999998,3059.7599999999998,1,1,1.0,0,1
10236.0,2033,1,778.24,778.24,1,1,1.0,1,0
10245.0,632,1,482.24,482.24,1,1,1.0,1,0
10251.0,1525,1,1801.1699999999998,1801.1699999999998,1,1,1.0,1,1
10252.0,276,1,705.38,705.38,1,1,1.0,1,0
10259.0,942,1,417.06,417.06,1,1,1.0,1,0
10263.0,2068,1,908.5899999999999,908.5899999999999,1,1,1.0,1,0
10266.0,1162,1,922.6400000000001,922.6400000000001,1,1,1.0,1,0
10268.0,239,1,352.96,352.96,1,1,1.0,1,0
10269.0,893,1,3370.88,3370.88,1,1,1.0,0,1
10271.0,917,1,1281.0,1281.0,1,1,1.0,1,0
10273.0,1541,1,1721.52,1721.52,1,1,1.0,1,1
10274.0,877,1,163.08,163.08,1,1,1.0,1,0
10281.0,2004,1,1685.3400000000001,1685.3400000000001,1,1,1.0,1,1
10282.0,1210,1,480.23999999999995,480.23999999999995,1,1,1.0,1,0
10287.0,1105,1,2781.0099999999998,2781.0099999999998,1,1,1.0,0,1
10292.0,555,1,505.68,505.68,1,1,1.0,1,0
10296.0,416,1,27.72,27.72,1,1,1.0,1,0
10298.0,2020,1,977.7299999999999,977.7299999999999,1,1,1.0,1,0
10299.0,1208,1,1989.6799999999998,1989.6799999999998,1,1,1.0,0,1
10300.0,448,1,1451.8500000000001,1451.8500000000001,1,1,1.0,1,0
10302.0,425,1,2567.66,2567.66,1,1,1.0,0,1
10303.0,19,1,1145.1599999999999,1145.1599999999999,1,1,1.0,1,0
10306.0,606,1,416.42999999999995,416.42999999999995,1,1,1.0,1,0
10320.0,1301,1,1297.8,1297.8,1,1,1.0,1,1
10323.0,408,1,3710.4700000000003,3710.4700000000003,1,1,1.0,0,1
10324.0,711,1,1218.78,1218.78,1,1,1.0,1,0
10329.0,1543,1,840.9000000000001,840.9000000000001,1,1,1.0,1,0
10334.0,766,1,776.16,776.16,1,1,1.0,1,0
10336.0,913,1,610.5,610.5,1,1,1.0,1,0
10338.0,113,1,3074.7400000000002,3074.7400000000002,1,1,1.0,0,1
10349.0,1990,1,2263.2000000000003,2263.2000000000003,1,1,1.0,0,1
10350.0,732,1,882.74,882.74,1,1,1.0,1,0
10351.0,1535,1,44.800000000000004,44.800000000000004,1,1,1.0,1,0
10352.0,1361,1,1159.2,1159.2,1,1,1.0,1,0
10354.0,795,1,2257.22,2257.22,1,1,1.0,0,1
10357.0,27,1,433.6,433.6,1,1,1.0,1,0
10362.0,1962,1,2255.04,2255.04,1,1,1.0,0,1
10363.0,48,1,1253.6,1253.6,1,1,1.0,1,0
10364.0,759,1,624.75,624.75,1,1,1.0,1,0
10366.0,1219,1,538.3,538.3,1,1,1.0,1,0
10367.0,1555,1,266.13,266.13,1,1,1.0,1,0
10369.0,1785,1,1092.26,1092.26,1,1,1.0,1,1
10372.0,424,1,2042.28,2042.28,1,1,1.0,0,1
10373.0,637,1,2064.9,2064.9,1,1,1.0,0,1
10375.0,1353,1,1365.4199999999998,1365.4199999999998,1,1,1.0,1,1
10376.0,1652,1,269.4,269.4,1,1,1.0,1,0
10381.0,1889,1,170.56,170.56,1,1,1.0,1,0
10383.0,1361,1,91.32000000000001,91.32000000000001,1,1,1.0,1,0
10387.0,1708,1,606.4499999999999,606.4499999999999,1,1,1.0,1,0
10388.0,976,1,166.5,166.5,1,1,1.0,1,0
10399.0,1131,1,1904.34,1904.34,1,1,1.0,1,1
10400.0,447,1,1473.6,1473.6,1,1,1.0,1,0
10401.0,197,1,260.55,260.55,1,1,1.0,1,0
10405.0,1851,1,396.48,396.48,1,1,1.0,1,0
10407.0,1132,1,167.84,167.84,1,1,1.0,1,0
10409.0,1649,1,1711.22,1711.22,1,1,1.0,1,1
10410.0,498,1,878.6,878.6,1,1,1.0,1,0
10414.0,1281,1,1127.69,1127.69,1,1,1.0,1,0
10420.0,1926,1,510.40999999999997,510.40999999999997,1,1,1.0,1,0
10422.0,54,1,837.62,837.62,1,1,1.0,1,0
